Size, FIFO, SSTF, SCAN, C-SCAN
576, 3.41336, 2.00766, 2.00497, 2.00693
577, 3.41447, 2.0101, 2.00666, 2.00896
578, 3.41514, 2.01444, 2.01033, 2.01233
579, 3.41353, 2.01615, 2.01351, 2.01537
580, 3.41659, 2.0115, 2.0085, 2.01021
581, 3.4121, 2.0134, 2.01061, 2.01284
582, 3.41714, 2.01165, 2.00849, 2.01029
583, 3.41129, 2.01133, 2.00778, 2.00959
584, 3.41351, 2.01421, 2.01051, 2.01284
585, 3.41207, 2.00983, 2.00756, 2.00974
586, 3.41208, 2.01108, 2.00759, 2.00962
587, 3.41446, 2.01107, 2.00741, 2.00936
588, 3.41393, 2.01114, 2.00759, 2.00933
589, 3.41503, 2.01086, 2.00693, 2.009
590, 3.41448, 2.00955, 2.00687, 2.00852
591, 3.41613, 2.01258, 2.00905, 2.01097
592, 3.41366, 2.01362, 2.00973, 2.01169
593, 3.41758, 2.01364, 2.01045, 2.01231
594, 3.41547, 2.01325, 2.01004, 2.01225
595, 3.4126, 2.01272, 2.01002, 2.01241
596, 3.41204, 2.01223, 2.00943, 2.01162
597, 3.41553, 2.01498, 2.01217, 2.01374
598, 3.4161, 2.01291, 2.01118, 2.01301
599, 3.41258, 2.01057, 2.00786, 2.00972
600, 3.41546, 2.01186, 2.00882, 2.01089
601, 3.41525, 2.0136, 2.01139, 2.0133
602, 3.41451, 2.01336, 2.0104, 2.01262
603, 3.4176, 2.01098, 2.00868, 2.01031
604, 3.41733, 2.01143, 2.00912, 2.011
605, 3.41532, 2.00888, 2.00614, 2.0079
606, 3.41016, 2.01124, 2.00891, 2.01091
607, 3.41543, 2.01158, 2.00845, 2.01046
608, 3.41968, 2.00986, 2.00701, 2.0087
609, 3.41193, 2.01138, 2.00846, 2.01065
610, 3.41735, 2.0142, 2.01108, 2.01272
611, 3.4148, 2.01274, 2.01049, 2.01259
612, 3.41703, 2.00931, 2.00724, 2.0093
613, 3.41108, 2.01464, 2.01131, 2.01336
614, 3.41385, 2.0143, 2.0125, 2.01436
615, 3.41258, 2.01202, 2.00941, 2.0113
616, 3.41148, 2.0129, 2.00995, 2.01168
617, 3.41923, 2.01282, 2.01076, 2.01297
618, 3.41629, 2.01515, 2.01212, 2.0138
619, 3.41428, 2.01009, 2.00752, 2.00908
620, 3.41432, 2.01206, 2.00984, 2.0118
621, 3.41759, 2.01174, 2.00792, 2.00994
622, 3.41454, 2.01033, 2.00727, 2.0089
623, 3.41415, 2.01383, 2.01087, 2.01293
624, 3.41468, 2.01019, 2.00787, 2.00991
625, 3.41172, 2.01128, 2.00856, 2.01029
626, 3.41427, 2.00941, 2.00579, 2.00738
627, 3.41564, 2.01149, 2.00847, 2.01022
628, 3.41487, 2.01016, 2.00787, 2.00931
629, 3.41318, 2.00911, 2.00646, 2.00809
630, 3.4132, 2.0087, 2.00649, 2.00848
631, 3.41802, 2.0126, 2.00915, 2.01106
632, 3.41433, 2.01086, 2.00774, 2.00973
633, 3.41442, 2.00877, 2.00638, 2.00821
634, 3.41283, 2.00525, 2.00303, 2.00478
635, 3.4154, 2.00948, 2.00736, 2.00938
636, 3.41591, 2.01199, 2.00826, 2.01004
637, 3.41451, 2.01201, 2.00903, 2.0109
638, 3.41388, 2.01249, 2.01021, 2.01174
639, 3.41209, 2.0105, 2.00662, 2.00835
640, 3.41531, 2.01428, 2.01167, 2.01357
641, 3.41395, 2.01232, 2.00935, 2.01116
642, 3.41296, 2.00776, 2.00537, 2.00725
643, 3.41333, 2.01363, 2.01055, 2.01242
644, 3.41711, 2.01365, 2.01121, 2.01327
645, 3.41031, 2.01232, 2.01036, 2.01212
646, 3.41199, 2.01075, 2.00796, 2.00951
647, 3.41068, 2.009, 2.00679, 2.00864
648, 3.41504, 2.00868, 2.0081, 2.00974
649, 3.41442, 2.01329, 2.01044, 2.01217
650, 3.40994, 2.01088, 2.00797, 2.01009
651, 3.41607, 2.01461, 2.01074, 2.01305
652, 3.41173, 2.00882, 2.00624, 2.0082
653, 3.41396, 2.01162, 2.00849, 2.01051
654, 3.41693, 2.01337, 2.0112, 2.01258
655, 3.41225, 2.01045, 2.00772, 2.00942
656, 3.41147, 2.01286, 2.009, 2.01068
657, 3.413, 2.00827, 2.00599, 2.00765
658, 3.41552, 2.01251, 2.01008, 2.01209
659, 3.41242, 2.01088, 2.00762, 2.00957
660, 3.4119, 2.01472, 2.01234, 2.01391
661, 3.41267, 2.00524, 2.00221, 2.00401
662, 3.41516, 2.01248, 2.01035, 2.01193
663, 3.41359, 2.01005, 2.00673, 2.00837
664, 3.41582, 2.0129, 2.01023, 2.01191
665, 3.41249, 2.00995, 2.00787, 2.00955
666, 3.4156, 2.01442, 2.01208, 2.01396
667, 3.41279, 2.01076, 2.00797, 2.00955
668, 3.41391, 2.00914, 2.00662, 2.00851
669, 3.40952, 2.00874, 2.00636, 2.00802
670, 3.41966, 2.01041, 2.00687, 2.00851
671, 3.41499, 2.00956, 2.00659, 2.00827
672, 3.41595, 2.01178, 2.00876, 2.01016
673, 3.41483, 2.00991, 2.00686, 2.00869
674, 3.41245, 2.01109, 2.00866, 2.01052
675, 3.41713, 2.01319, 2.0106, 2.01231
676, 3.41462, 2.00857, 2.00642, 2.00819
677, 3.41309, 2.00986, 2.00677, 2.00873
678, 3.4084, 2.01003, 2.00766, 2.00963
679, 3.41378, 2.0118, 2.00822, 2.00993
680, 3.41443, 2.01116, 2.0086, 2.01018
681, 3.41371, 2.01064, 2.00768, 2.00958
682, 3.41916, 2.01173, 2.00993, 2.01189
683, 3.41563, 2.00985, 2.00782, 2.00982
684, 3.41506, 2.00544, 2.00317, 2.00484
685, 3.41481, 2.01191, 2.00991, 2.01164
686, 3.41429, 2.0125, 2.01068, 2.01226
687, 3.4181, 2.01065, 2.00839, 2.0102
688, 3.41296, 2.01064, 2.00858, 2.01036
689, 3.4159, 2.01114, 2.00792, 2.00955
690, 3.41356, 2.00985, 2.00675, 2.00852
691, 3.41531, 2.00915, 2.00716, 2.00867
692, 3.41222, 2.0122, 2.00914, 2.01064
693, 3.41415, 2.00714, 2.00462, 2.00615
694, 3.41487, 2.01023, 2.0082, 2.01006
695, 3.41337, 2.00982, 2.00774, 2.00952
696, 3.41518, 2.01284, 2.00998, 2.01176
697, 3.41441, 2.01148, 2.00861, 2.01026
698, 3.4117, 2.00766, 2.00518, 2.00698
699, 3.41582, 2.01124, 2.00829, 2.00996
700, 3.41756, 2.0081, 2.0058, 2.00752
701, 3.4152, 2.01075, 2.00837, 2.00972
702, 3.41631, 2.00865, 2.00624, 2.00787
703, 3.41519, 2.00775, 2.0054, 2.00707
704, 3.41514, 2.01166, 2.00903, 2.01081
705, 3.41282, 2.00603, 2.00399, 2.00578
706, 3.41254, 2.00962, 2.00689, 2.00859
707, 3.41522, 2.01171, 2.00941, 2.01109
708, 3.41636, 2.01138, 2.00969, 2.01118
709, 3.41641, 2.01107, 2.00946, 2.01097
710, 3.41507, 2.01146, 2.00929, 2.01076
711, 3.41358, 2.0085, 2.00542, 2.00714
712, 3.41457, 2.00879, 2.00643, 2.00785
713, 3.41082, 2.01089, 2.00889, 2.01059
714, 3.41589, 2.00983, 2.00724, 2.00875
715, 3.41604, 2.00815, 2.00645, 2.00806
716, 3.41282, 2.01153, 2.00957, 2.0114
717, 3.41553, 2.00837, 2.00647, 2.00811
718, 3.41622, 2.01271, 2.00973, 2.01118
719, 3.41721, 2.00908, 2.0066, 2.00826
720, 3.41536, 2.00902, 2.00595, 2.00764
721, 3.41413, 2.01263, 2.00939, 2.01069
722, 3.41975, 2.00894, 2.00596, 2.00756
723, 3.41517, 2.01013, 2.00819, 2.00986
724, 3.41752, 2.00936, 2.00696, 2.00818
725, 3.4131, 2.01187, 2.00899, 2.01072
726, 3.41143, 2.00877, 2.00698, 2.00857
727, 3.41285, 2.01126, 2.00906, 2.01068
728, 3.4153, 2.01371, 2.01144, 2.01314
729, 3.41421, 2.00974, 2.00693, 2.00845
730, 3.41172, 2.00982, 2.00702, 2.00877
731, 3.41852, 2.01161, 2.00991, 2.01156
732, 3.41546, 2.01102, 2.00772, 2.00917
733, 3.4131, 2.00923, 2.00724, 2.00909
734, 3.41609, 2.01053, 2.00885, 2.01028
735, 3.41773, 2.0081, 2.00601, 2.00746
736, 3.41707, 2.01344, 2.01166, 2.01314
737, 3.41402, 2.01023, 2.00724, 2.00889
738, 3.41484, 2.00947, 2.00692, 2.00842
739, 3.41214, 2.01017, 2.00719, 2.00873
740, 3.41654, 2.00865, 2.00704, 2.00874
741, 3.41161, 2.00818, 2.00525, 2.00679
742, 3.41729, 2.00862, 2.00673, 2.00809
743, 3.41375, 2.00931, 2.00705, 2.00897
744, 3.41299, 2.0092, 2.00777, 2.00916
745, 3.41316, 2.01291, 2.01, 2.01149
746, 3.4181, 2.00823, 2.00616, 2.00762
747, 3.417, 2.00934, 2.00747, 2.009
748, 3.41654, 2.00976, 2.00759, 2.00901
749, 3.41406, 2.00646, 2.00407, 2.00566
750, 3.41956, 2.00947, 2.00623, 2.00785
751, 3.41268, 2.00806, 2.00616, 2.00757
752, 3.41575, 2.00955, 2.00682, 2.00835
753, 3.41594, 2.00797, 2.00598, 2.0076
754, 3.41388, 2.01085, 2.00929, 2.01101
755, 3.41631, 2.00837, 2.00635, 2.00778
